Sample	Group
Philip2017_Naive_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Naive_Infection_None
Philip2017_Naive_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Naive_Infection_None
SB2016_effector_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Effector_Infection_None
SB2016_effector_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Effector_Infection_None
SB2016_memory_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Memory_Infection_None
SB2016_memory_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Memory_Infection_None
SB2016_naive_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Naive_Native_None
SB2016_naive_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Endogenous_Naive_Native_None
SB2019_CART_Progenitor_1_ATAC_REP1.mLb.clN	ScottBrowne2019_CAR_Progenitor_Tumor_None
SB2019_CART_Progenitor_2_ATAC_REP1.mLb.clN	ScottBrowne2019_CAR_Progenitor_Tumor_None
SB2019_CART_Terminal_1_ATAC_REP1.mLb.clN	ScottBrowne2019_CAR_Terminal_Tumor_None
SB2019_CART_Terminal_2_ATAC_REP1.mLb.clN	ScottBrowne2019_CAR_Terminal_Tumor_None
SB2019_CART_Terminal_3_ATAC_REP1.mLb.clN	ScottBrowne2019_CAR_Terminal_Tumor_None
SB2019_ENDO_Naive_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_TumorNonReactive_Tumor_None
SB2019_ENDO_Naive_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_TumorNonReactive_Tumor_None
SB2019_ENDO_Progenitor_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Progenitor_Tumor_None
SB2019_ENDO_Progenitor_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Progenitor_Tumor_None
SB2019_ENDO_Progenitor_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Progenitor_Tumor_None
SB2019_ENDO_Terminal_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Terminal_Tumor_None
SB2019_ENDO_Terminal_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Terminal_Tumor_None
SB2019_ENDO_Terminal_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Endogenous_Terminal_Tumor_None
TIL_Bulk_C1_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Tumor_IgG2a_Control
TIL_Bulk_C1_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Tumor_IgG2a_Control
TIL_Bulk_C2_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Tumor_IgG2a_Control
TIL_Bulk_C2_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Tumor_IgG2a_Control
TIL_Bulk_P1_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Tumor_anti-PD1
TIL_Bulk_P1_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Tumor_anti-PD1
TIL_Bulk_P2_Slam_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Progenitor_Tumor_anti-PD1
TIL_Bulk_P2_TIM_ATAC_REP1.mLb.clN	Miller2019_Endogenous_Terminal_Tumor_anti-PD1
