SampleID	nfcore_FRIP	Arch150bpConsensus_FRIP_OLD	Arch150bpConsensus_reciprocalFRIP_OLD	Arch150bpConsensus_FRIP	Arch150bpConsensus_reciprocalFRIP	Library_ATAC	DataSet	Publication	BiologicalReplicate	TechnicalReplicate	NumCellsAssay	Tissue	Tumor	NumTumorCells	DayAdoptiveTransferCD8	NumCD8Transfer	Infection	PFU	DayHarvested	TCR	Retrovirus	Phenotype	Setting	MouseStrain	Age	Background	Treatment4GroupLabel	Treatment	Dysfunction	SelectionMethod	nfcore_bam_path	tn5_adjusted_bed_path	sample_basename	archr_peak_group_OLD	bw_FRIP_inputs_OLD	archr_peak_group	bw_FRIP_inputs
Philip2017_Lesion14_2	0.300481	0.25158	3.974878766	0.254876	3.923476514	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion14_2_ATAC_REP1.mLb.clN,0.25158,3.97487876619763	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM	Philip2017_Lesion14_2_ATAC_REP1.mLb.clN,0.254876,3.92347651406959
Philip2017_Lesion14_3	0.325644	0.263563	3.794159271	0.266828	3.747732622	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion14_3_ATAC_REP1.mLb.clN,0.263563,3.79415927121789	Philip2017_Tg_SV40-I_Terminal-d14_Tumor_TAM	Philip2017_Lesion14_3_ATAC_REP1.mLb.clN,0.266828,3.74773262176383
Philip2017_Lesion21_1	0.357873	0.297402	3.362452169	0.301298	3.318973242	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion21_1_ATAC_REP1.mLb.clN,0.297402,3.36245216911789	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM	Philip2017_Lesion21_1_ATAC_REP1.mLb.clN,0.301298,3.31897324243772
Philip2017_Lesion21_2	0.237543	0.204112	4.899270988	0.206695	4.838046397	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion21_2_ATAC_REP1.mLb.clN,0.204112,4.89927098847692	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM	Philip2017_Lesion21_2_ATAC_REP1.mLb.clN,0.206695,4.83804639686495
Philip2017_Lesion21_3	0.215504	0.184743	5.412924982	0.186992	5.347822367	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion21_3_ATAC_REP1.mLb.clN,0.184743,5.41292498227267	Philip2017_Tg_SV40-I_Terminal-d21_Tumor_TAM	Philip2017_Lesion21_3_ATAC_REP1.mLb.clN,0.186992,5.34782236673227
Philip2017_Lesion28_1	0.350283	0.288032	3.471836463	0.291811	3.426875615	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion28_1_ATAC_REP1.mLb.clN,0.288032,3.47183646261526	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM	Philip2017_Lesion28_1_ATAC_REP1.mLb.clN,0.291811,3.42687561469581
Philip2017_Lesion28_2	0.35103	0.293709	3.404730533	0.297357	3.36296102	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion28_2_ATAC_REP1.mLb.clN,0.293709,3.404730532602	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM	Philip2017_Lesion28_2_ATAC_REP1.mLb.clN,0.297357,3.36296101991882
Philip2017_Lesion28_3	0.302544	0.2574	3.885003885	0.260748	3.835120499	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion28_3_ATAC_REP1.mLb.clN,0.2574,3.88500388500388	Philip2017_Tg_SV40-I_Terminal-d28_Tumor_TAM	Philip2017_Lesion28_3_ATAC_REP1.mLb.clN,0.260748,3.83512049948609
Philip2017_Lesion35_1	0.413714	0.342924	2.916098028	0.347326	2.879139483	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion35_1_ATAC_REP1.mLb.clN,0.342924,2.91609802755129	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM	Philip2017_Lesion35_1_ATAC_REP1.mLb.clN,0.347326,2.87913948279138
Philip2017_Lesion35_2	0.279976	0.232374	4.303407438	0.235326	4.249424203	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion35_2_ATAC_REP1.mLb.clN,0.232374,4.30340743800942	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM	Philip2017_Lesion35_2_ATAC_REP1.mLb.clN,0.235326,4.24942420302049
Philip2017_Lesion35_3	0.374468	0.310932	3.21613729	0.314793	3.176690714	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion35_3_ATAC_REP1.mLb.clN,0.310932,3.21613729046866	Philip2017_Tg_SV40-I_Terminal-d35_Tumor_TAM	Philip2017_Lesion35_3_ATAC_REP1.mLb.clN,0.314793,3.17669071421537
Philip2017_Lesion5_2	0.257687	0.219546	4.554854108	0.221708	4.510437152	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	5	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D5 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion5_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion5_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion5_2_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor_Tumor_TAM	Philip2017_Lesion5_2_ATAC_REP1.mLb.clN,0.219546,4.55485410802292	Philip2017_Tg_SV40-I_Progenitor-d5_Tumor_TAM	Philip2017_Lesion5_2_ATAC_REP1.mLb.clN,0.221708,4.51043715156873
Philip2017_Lesion5_3	0.16584	0.147011	6.802212079	0.148548	6.731830789	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	5	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D5 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion5_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion5_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion5_3_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Progenitor_Tumor_TAM	Philip2017_Lesion5_3_ATAC_REP1.mLb.clN,0.147011,6.80221207936821	Philip2017_Tg_SV40-I_Progenitor-d5_Tumor_TAM	Philip2017_Lesion5_3_ATAC_REP1.mLb.clN,0.148548,6.73183078870129
Philip2017_Lesion60_1	0.341858	0.281748	3.54927098	0.285162	3.506778603	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	60	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D60 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion60_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion60_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion60_1_ATAC_REP1.mLb.clN	Philip2017_Tg_SV40-I_Terminal_Tumor_TAM	Philip2017_Lesion60_1_ATAC_REP1.mLb.clN,0.281748,3.54927097974076	Philip2017_Tg_SV40-I_Terminal-d60_Tumor_TAM	Philip2017_Lesion60_1_ATAC_REP1.mLb.clN,0.285162,3.50677860303968
