SampleID	nfcore_FRIP	Arch150bpConsensus_FRIP	Arch150bpConsensus_reciprocalFRIP	Library_ATAC	DataSet	Publication	BiologicalReplicate	TechnicalReplicate	NumCellsAssay	Tissue	Tumor	NumTumorCells	DayAdoptiveTransferCD8	NumCD8Transfer	Infection	PFU	DayHarvested	TCR	Retrovirus	Phenotype	Setting	MouseStrain	Age	Background	Treatment4GroupLabel	Treatment	Dysfunction	SelectionMethod	nfcore_bam_path	tn5_adjusted_bed_path	sample_basename	archr_peak_group
Philip2017_Lesion14_2	0.300481	0.251044	3.983365466	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_2_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion14_3	0.325644	0.263055	3.801486381	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	14	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D14 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion14_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion14_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion14_3_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion21_1	0.357873	0.297168	3.365099876	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_1_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion21_2	0.237543	0.203902	4.90431678	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_2_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion21_3	0.215504	0.184542	5.418820648	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	21	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D21 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion21_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion21_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion21_3_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion28_1	0.350283	0.287751	3.475226845	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_1_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion28_2	0.35103	0.293357	3.40881588	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_2_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion28_3	0.302544	0.257142	3.888901852	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	28	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D28 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion28_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion28_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion28_3_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion35_1	0.413714	0.342616	2.918719499	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_1_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion35_2	0.279976	0.232069	4.309063253	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_2_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion35_3	0.374468	0.310694	3.218600939	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	35	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D35 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion35_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion35_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion35_3_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion5_2	0.257687	0.218954	4.56716936	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	5	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D5 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion5_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion5_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion5_2_ATAC_REP1.mLb.clN	Philip2017_Progenitor_Tumor_TAM
Philip2017_Lesion5_3	0.16584	0.146556	6.823330331	Paired	GSE89309	Philip2017	3	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	5	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D5 from early malignant lesions replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion5_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion5_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion5_3_ATAC_REP1.mLb.clN	Philip2017_Progenitor_Tumor_TAM
Philip2017_Lesion60_1	0.341858	0.281321	3.554658202	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	60	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D60 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion60_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion60_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion60_1_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion60_2	0.187467	0.159431	6.272305888	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	60	Tg_SV40-I		Terminal	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D60 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion60_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion60_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion60_2_ATAC_REP1.mLb.clN	Philip2017_Terminal_Tumor_TAM
Philip2017_Lesion7_1	0.294028	0.245831	4.06783522	Paired	GSE89309	Philip2017	1	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	7	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D7 from early malignant lesions replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion7_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion7_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion7_1_ATAC_REP1.mLb.clN	Philip2017_Progenitor_Tumor_TAM
Philip2017_Lesion7_2	0.275713	0.233812	4.276940448	Paired	GSE89309	Philip2017	2	1		Liver	early malignant lesions(ASTxCre-ERT2)		0	1e5-2e6	NA	NA	7	Tg_SV40-I		Progenitor	Tumor	TCRTAG-Thy1.1	6-12weeks	B6	TAM	1mg tamoxifen	Y	Sort-purified (CD8/Thy1.1) TCR SV40-I CD8 T cells isolated D7 from early malignant lesions replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Lesion7_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Lesion7_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Lesion7_2_ATAC_REP1.mLb.clN	Philip2017_Progenitor_Tumor_TAM
Philip2017_Memory_1	0.22391	0.200599	4.985069716	Paired	GSE89309	Philip2017	1	1		Spleen	NA		0	100000	LmTAG	5000000	60	Tg_SV40-I		Memory	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1/CD44+/CD62L+) central memory TCR SV40-I CD8 T cells replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Memory_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Memory_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Memory_1_ATAC_REP1.mLb.clN	Philip2017_Memory_Infection_None
Philip2017_Memory_3	0.414157	0.349692	2.859659357	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	60	Tg_SV40-I		Memory	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/Thy1.1/CD44+/CD62L+) central memory TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Memory_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Memory_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Memory_3_ATAC_REP1.mLb.clN	Philip2017_Memory_Infection_None
Philip2017_Naive_1	0.263423	0.221501	4.514652304	Paired	GSE89309	Philip2017	1	1		Spleen	NA		0	100000	LmTAG	5000000	0	Tg_SV40-I		Naive	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/CD44low) naïve transgenic TCR SV40-I CD8 T cells replicate#1	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Naive_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Naive_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Naive_1_ATAC_REP1.mLb.clN	Philip2017_Naive_Infection_None
Philip2017_Naive_2	0.296436	0.251216	3.980638176	Paired	GSE89309	Philip2017	2	1		Spleen	NA		0	100000	LmTAG	5000000	0	Tg_SV40-I		Naive	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/CD44low) naïve transgenic TCR SV40-I CD8 T cells replicate#2	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Naive_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Naive_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Naive_2_ATAC_REP1.mLb.clN	Philip2017_Naive_Infection_None
Philip2017_Naive_3	0.328183	0.270258	3.700167988	Paired	GSE89309	Philip2017	3	1		Spleen	NA		0	100000	LmTAG	5000000	0	Tg_SV40-I		Naive	Infection	TCRTAG-Thy1.1	6-12weeks	B6	None	NA	N	Sort-purified (CD8/CD44low) naïve transgenic TCR SV40-I CD8 T cells replicate#3	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/Philip2017_Naive_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/Philip2017_Naive_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	Philip2017_Naive_3_ATAC_REP1.mLb.clN	Philip2017_Naive_Infection_None
SB2016_effector_1	0.411538	0.368144	2.716328393	Paired	GSE88987	ScottBrowne2016	1	1		Spleen	NA	NA	NA	NA	LCMV-arm5	200000	8	Endogenous		Effector	Infection	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+_H2Db-GP33tet+_CD44+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_effector_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_effector_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_effector_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Effector_Infection_None
SB2016_effector_2	0.419182	0.371849	2.689263653	Paired	GSE88987	ScottBrowne2016	2	1		Spleen	NA	NA	NA	NA	LCMV-arm5	200000	8	Endogenous		Effector	Infection	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+_H2Db-GP33tet+_CD44+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_effector_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_effector_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_effector_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Effector_Infection_None
